,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,,,,,,
0,Rolando Aarons ,Midfielder,4,,,4,100%,,0,1,0,0,,9,12,14,4,1,3,,0,0,41,10.25,0,2,50%,0,1,0,0,1,1,0,0,0,0,0,0,,,,,
1,Abdul Rahman Baba ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Tammy Abraham ,Forward,31,,,10,,,11,1,11,8,,,,,,,,,,1,300,9.68,3,13,,,,0,0,15,9,5,0,4,0,0,0.16,,,,,
3,Charlie Adam ,Midfielder,11,,,9,56%,,3,9,9,5,,40,36,29,12,7,5,,1,0,246,22.36,3,30,27%,3,23,2,1,8,0,0,0,0,0,1,0,,,,,
4,Adrián ,Goalkeeper,19,6,29,,,,,,,,,,,,,,,0,0,0,520,27.37,,,,,174,2,0,1,,0,,,,,,,,,,
5,Adrien Silva ,Midfielder,12,,,22,59%,,5,14,0,0,,58,47,68,6,11,19,,0,1,433,36.08,1,4,0%,3,19,3,0,9,0,0,0,0,0,0,0,,,,,
6,Ibrahim Afellay ,Midfielder,6,,,3,100%,,0,1,1,1,,15,4,5,1,0,0,,0,0,81,13.5,0,0,0%,0,4,1,0,1,0,0,0,0,0,0,0,,,,,
7,Benik Afobe ,Forward,17,,,4,,,4,0,6,5,,,,,,,,,,0,152,8.94,0,2,,,,0,0,9,4,0,0,0,0,0,0,,,,,
8,Sergio Agüero ,Forward,25,,,9,,,20,6,3,1,,,,,,,,,,6,628,25.12,10,16,,,,2,0,10,16,21,5,15,1,3,0.84,,,,,
9,Daniel Agyei ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
10,Soufyan Ahannach ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
11,Ahmed Hegazi ,Defender,38,10,55,58,66%,0,0,60,270,152,1,183,192,145,22,103,84,0,1,0,"1,186",31.21,0,10,30%,1,135,4,0,24,2,2,2,0,0,0,,,,,,
12,Nathan Aké ,Defender,38,6,59,53,60%,2,2,48,229,136,1,178,186,141,10,105,92,0,0,3,"1,589",41.82,2,5,20%,0,86,5,0,27,2,2,0,1,1,1,,,,,,
13,Chuba Akpom ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
14,Alberto Moreno ,Defender,16,6,19,35,74%,0,7,12,39,16,0,69,69,48,6,10,17,0,0,0,783,48.94,0,51,20%,1,35,1,0,8,0,0,0,0,0,0,,,,,,
15,Marc Albrighton ,Midfielder,34,,,52,63%,,11,27,25,11,,172,141,152,52,11,15,,0,7,"1,005",29.56,8,217,18%,11,76,5,1,20,2,2,0,2,0,0,0.06,,,,,
16,Toby Alderweireld ,Defender,14,5,13,19,68%,0,1,4,50,31,0,57,40,45,6,14,29,0,0,0,915,65.36,0,7,29%,1,111,3,0,8,0,0,0,0,0,0,,,,,,
17,Aleix García ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
18,Trent Alexander-Arnold ,Defender,19,6,18,37,68%,0,1,28,39,11,0,133,63,69,20,5,17,0,0,1,"1,007",53,3,102,17%,3,75,3,0,12,3,1,0,1,0,0,,,,,,
